id,character,keyword,pinyin,description
778,米,Rice,mǐ,
779,粉,Powder,fěn,粉身碎骨 (fěn shēn suì gǔ) Shattered to pieces -- 粉碎 (fěn suì) Smash -- 粉末 (fěn mò) powder
780,迷,Lost,mí,"迷惑 (mí huò) to confuse, to perplex -- 昏迷 (hūn mí) unconscious/coma"
781,谜,Riddle,mí,
782,类,Kind (n.),lèi,败类 (bài lèi) scoundrel
783,来,Come,lái,"放马过来 (fàng mǎ guò lái) Bring it on -- 来不及 (lái bù jí) Too late/no time -- 孵出来 (fū chū lái) Hatch -- 接下来 (jiē xiàlái) next, following -- 兵来将挡 (bīng lái jiàng dǎng) meet force with force; respond appropriately to changes"
v1p241,p.娄,p.Bride,,
784,数,Number,shù,招数 (zhāo shù) Trick，movement in Wushu
785,楼,Multistory building,lóu,
786,竹,Bamboo,zhú,
787,笑,Laugh (v.),xiào,
788,箱,Box,xiāng,
789,等,Etc.,děng,等闲之辈 (děng xián zhī bèi) ordinary people -- 稍等 (shāo děng) Wait a moment
790,算,Calculate,suàn,
791,答,Answer (v.),dá,答应 (dā yìng) Promise
792,策,Strategy,cè,
793,人,Person,rén,丢人 (diū rén) Disgraceful、embarrassing -- 人工 (réngōng) Artificial -- 欺人太甚 (qī rén tài shèn) Bully excessively -- 技不如人 (jì bù rú rén) Inferior skills -- 出人意料 (chū rén yì liào) Unexpected -- 仆人 (pú rén) servant -- 唬人 (hǔ rén) bluff/intimidate -- 人渣 (rén zhā) scum
794,认,Recognize,rèn,"认输 (rèn shū) Admit defeat -- 公认 (gōng rèn) Generally recognized -- 承认 (chéngrèn) to admit, to acknowledge"
795,价,Price,jià,代价 (dài jià) Cost -- 价值 (jià zhí) value; worth
796,份,Portion,fèn,"身份 (shēn fèn) identity, status"
797,伪,Bogus,wěi,
798,尔,You (literary) - primitive: HICCUP,ěr,偶尔 (ǒu’ěr) occasionally
799,你,You,nǐ,非你莫属 (fēi nǐ mò shǔ) It must be you -- 托你的福 (tuō nǐ de fú) thanks to you (polite)
800,您,You (respectful),nín,
801,称,to weigh,chēng,
802,什,What?,shén,
803,值,Value (n.),zhí,价值 (jià zhí) value; worth -- 值得 (zhí dé) be worth; deserve
804,做,Make,zuò,
805,但,(but) However,dàn,
806,住,"Dwell, live",zhù,住院 (zhùyuàn) Hospitalization -- 屏住 (bǐng zhù) Hold (one's breath) -- 住宅 (zhù zhái) residence -- 不住 (bù zhù) can’t help (doing something)
807,位,Position (n.),wèi,
808,件,Piece (of clothes),jiàn,零件 (líng jiàn) spare parts/components
809,仍,Still,réng,
810,他,He,tā,
811,仅,Merely,jǐn,
812,休,Rest (v.),xiū,罢休 (bà xiū) Give up -- 不眠不休 (bù mián bù xiū) Sleepless -- 休想 (xiūxiǎng) Don't even think about it
813,体,Body,tǐ,体恤 (tǐ xù) to show sympathy -- 体谅 (tǐliàng) Understand -- 具体 (jù tǐ) Specific
814,信,Faith,xìn,不敢置信 (bù gǎn zhì xìn) Unbelievable -- 信心 (xìn xīn) Confidence -- 信号 (xìn hào) Signal
815,依,"Depend on (according to, in the light of, judging by)",yī,不依不饶 (bù yī bù ráo) Relentless
816,例,Example,lì,例子 (lìzi) example
817,健,Healthy (Physical strength and fitness),jiàn,
818,停,Halt (a car e.g.),tíng,
819,倒,Upside down,dǎo,倒霉 (dǎo méi) Unlucky
820,仁,Benevolence,rén,
821,优,Excellent,yōu,占优势 (zhàn yōu shì) Dominate -- 优美 (yōuměi) graceful; elegant
822,伤,Wound (n.),shāng,悲伤 (bēi shāng) Sad
823,保,Safeguard,bǎo,"保管 (bǎo guǎn) Safekeeping -- 保证 (bǎozhèng) to guarantee, assurance"
824,堡,Fort,bǎo,
825,付,Pay (v.),fù,
826,府,Government office,fǔ,
827,俯,Bow one’s head,fǔ,
828,代,Substitute for,dài,"时代 (shí dài) era, age -- 代价 (dài jià) Cost -- 替代 (tì dài) Replace"
829,袋,Bag,dài,
830,化,Transform,huà,化身 (huà shēn) incarnation; embodiment (of an idea/character)
831,华,Splendor,huá,精华 (jīng huá) Essence -- 才华 (cáihuá) talent
832,哗,Clamor (n.),huá,
833,花,Flower (n.),huā,
834,货,Commodities,huò,蠢货 (chǔn huò) Fool
835,何,Whatwhichwhowherewhy?,hé,
836,便,Convenient,biàn,"占便宜 (zhàn piányi) Take Advantage -- 即便 (jí biàn) even if, even though -- 顺便 (shùnbiàn) conveniently, in passing"
837,丈,100 Chinese inches,zhàng,
838,使,Use,shǐ,使命 (shǐ mìng) Mission/duty
839,久,Long time,jiǔ,
840,内,Internal,nèi,内容 (nèi róng) content
841,呐,Holler,nà,
842,丙,Third,bǐng,
843,柄,Handle (n.),bǐng,
844,肉,Meat,ròu,
845,腐,Rotten,fǔ,
846,从,Follow,cóng,
847,众,Multitude,zhòng,
848,坐,Sit,zuò,
849,座,Seat,zuò,
850,巫,Witch,wū,
v1p251,p.曷,p.Siesta,,
851,喝,Drink (v.),hē,
852,渴,Thirsty,kě,
v1p252,p.壬,p.Porter,,
853,任,Appoint,rèn,班主任 (bānzhǔrèn) head teacher -- 责任心 (zé rèn xīn) Sense of responsibility -- 任务 (rèn wù) Task
854,廷,Royal court,tíng,
855,庭,Court of law,tíng,
856,头,Head,tóu,出风头 (chū fēngtóu) Show Off -- 丫头 (yā tóu) Girl -- 染头发 (rǎn tóu fà) Dye hair -- 头头是道 (tóu tóu shì dào) (explain) logically and systematically; sound convincing
857,实,Reality,shí,实验 (shíyàn) Experiment -- 诚实 (chéng shí) Honest -- 实际上 (shí jì shàng) Actually
V1p253-1,p.乛,p.Beret (french cap hat),,
858,买,Buy,mǎi,买包烟 (mǎi bāo yān) Buy a pack of cigarettes
859,卖,Sell,mài,卖家 (mài jiā) Seller
860,读,Read,dú,
V1p253-2,p.,"p.Plow (a large farming implement with one or more blades fixed in a frame, drawn over soil to turn it over and cut furrows in preparation for the planting of seeds.)",,
861,以,By means of,yǐ,掉以轻心 (diào yǐ qīng xīn) underestimate carelessly
862,似,Similar,sì,似乎 (sì hū) it seems
863,并,Combine,bìng,
864,拼,Piece together,pīn,拼命 (pīn mìng) Desperately
865,吕,Spine,lǚ,
866,侣,Associate (n.),lǚ,
v1p254,p.,p.Greenhouse??? or FLOWER CROWN...,,
867,荣,Glory,róng,
868,劳,Labor (n.),láo,
869,营,Camp (n.),yíng,
870,善,Virtuous,shàn,善良 (shàn liáng) Kindness
871,年,Year,nián,少年 (shào nián) Youth -- 年龄 (nián líng) Age
872,夜,Night,yè,熬夜 (áoyè) to stay up late
873,液,Liquid,yè,
v1p256,p.,p.Banner,,
874,旅,Travel (v.),lǚ,
875,施,"Execute (carry out, apply...)",shī,"措施 (cuòshī) measure, step (for dealing with something)"
876,游,Go swimming,yóu,
877,勿,"Not / ""Knot"" as primitive",wù,
878,忽,Suddenly,hū,忽略 (hū lüè) Ignore
879,物,Thing,wù,有机物质 (yǒu jī wù zhì) Organic matter -- 废物 (fèi wù) waste; trash; good-for-nothing (person)
880,易,Easy,yì,轻而易举 (qīng ér yì jǔ) Easy
881,赐,Grant (v.),cì,
882,尸,Corpse,shī,
883,尼,Nun,ní,
884,呢,Woolen cloth,ní,
885,泥,Mud,ní,
886,屋,Habitation,wū,
887,握,"Grip, Grasp (v.)",wò,掌握 (zhǎng wò) Master -- 把握 (bǎ wò) Grasp
888,居,Reside,jū,居然 (jū rán) unexpectedly; to one's surprise
889,锯,Saw (n.),jù,
890,剧,Drama,jù,剧透 (jùtòu) Spoiler
891,据,Certificate,jù,
892,层,Story (floor of a building),céng,层层 (céng céng) Layer upon layer
893,局,Bureau,jú,"结局 (jiéjú) ending, conclusion"
894,尺,Ruler,chǐ,
895,尽,Exhausted,jìn,筋疲力尽 (jīn pí lì jìn) Exhausted -- 倾尽 (qīngjìn) Pour out -- 同归于尽 (tóng guī yú jìn) Mutual destruction
896,户,Door,hù,
897,房,Domicile,fáng,
898,雇,Hire,gù,"雇 (gù) Employ, hire"
899,护,Protect (general shielding),hù,防护罩 (fáng hù zhào) protective shield
900,示,"Show (v.) radical: ALTAR - pay attention when on the left, similar to cloak",shì,"展示 (zhǎn shì) Display -- 表示 (biǎoshì) to express, to indicate"
901,社,Society,shè,
902,礼,Ceremony,lǐ,
903,视,Inspect,shì,监视 (jiān shì) Monitor -- 窥视 (kuī shì) Peep
904,福,Happiness (and prosperity),fú,托你的福 (tuō nǐ de fú) thanks to you (polite)
905,标,Mark (n.),biāo,目标 (mù biāo) Target
906,禁,Prohibit,jìn,
907,襟,Front of a garment,jīn,
908,宗,Religion,zōng,救世主 (jiù shì zhǔ) savior; Messiah (宗教语境) -- 宗教 (zōngjiào) religion
909,崇,Worship (v.),chóng,
910,祭,Offer sacrifice,jì,
911,察,"Scrutinize (examine, inquire)",chá,"侦察 (zhēnchá) Reconnaissance, scout -- 察觉 (chá jué) Perceive"
912,擦,Scrub (how to keep it apart from rubbing?),cā,
913,由,"Wherefore (for which reason, deswegen, the reason for something). Primitive: soya SPROUT",yóu,
914,抽,Take out (from in between),chōu,
915,油,Oil,yóu,
916,甲,"First (primitive: radish, radix)",jiǎ,
917,押,"Pawn (v.) (like in a pawn shop, to give as security)",yā,
918,申,"to express (in words as opposed to gestures, actions, or art), primitive: monkey",shēn,申请 (shēn qǐng) Apply
919,伸,Extend,shēn,
920,神,Gods,shén,神经 (shén jīng) Neuron -- 神殿 (shén diàn) Temple -- 神经病 (shénjīngbìng) crazy person (colloquial)
921,果,Fruit,guǒ,果然 (guǒ rán) as expected -- 后果 (hòu guǒ) Consequence -- 糖果 (táng guǒ) candy; sweets
922,课,Lesson,kè,
923,颗,"Granule (grain, kernel measure word)",kē,
924,斤,"Catty (one-half kilogram), primitive: tomahawk (indian axe)",jīn,
925,听,Listen,tīng,动听 (dòng tīng) melodious; pleasant-sounding
926,所,Place (n.),suǒ,所剩无几 (suǒ shèng wú jǐ) Very little left
927,近,Near,jìn,
928,斩,"to hew (chop or cut (something, especially wood or coal) with an axe, pick, or other tool.)",zhǎn,斩 (zhǎn) Cut/chop
929,暂,Temporary,zàn,暂时 (zàn shí) Temporary
930,渐,Gradually,jiàn,
931,断,"to sever (snap, break off)",duàn,
932,折,Discount,zhé,
933,哲,Philosopher,zhé,哲学 (zhéxué) philosophy
934,逝,Pass away,shì,
935,斥,Reprimand,chì,
936,诉,Accuse,sù,投诉 (tóusù) to complain
937,乍,For the first time ( a SAW as primitive),zhà,
938,怎,How?,zěn,
939,昨,Yesterday,zuó,
940,作,to Do (the work),zuò,作品 (zuò pǐn) artwork/literary work
v1p267,p.彐,p.Broom,,
941,雪,Snow (n.),xuě,
942,灵,Spirit,líng,灵活 (líng huó) Flexible/Agile -- 灵魂 (línghún) soul
943,妇,Married woman,fù,
944,扫,Sweep (v.),sǎo,
945,寻,Seek,xún,搜寻 (sōu xún) Search
946,急,Anxious,jí,急急忙忙 (jíjímángmáng) In a hurry -- 急事 (jíshì) Urgent matter -- 急促 (jí cù) Rapid
947,当,Work as,dāng,"当成 (dàng chéng) to be considered as -- 当初 (dāngchū) at that time, originally"
948,档,Files,dàng,
949,录,Record (v.),lù,
950,碌,"Commonplace (cliché, mediocre)",lù,忙碌 (máng lù) busy
v1p268,p.,p.Rake,,
951,争,Contend,zhēng,
952,净,Clean (adj.),jìng,
953,事,Matter,shì,急事 (jíshì) Urgent matter
954,唐,Tang,táng,
955,糖,Sugar,táng,糖果 (táng guǒ) candy; sweets
956,康,Hale (in good health),kāng,
957,尹,Overseer (eine person),yǐn,
958,伊,Queen Elizabeth,yī,
959,君,Monarch,jūn,
960,裙,Skirt,qún,
961,群,Crowd (n.),qún,
962,而,And (primitive: a comb),ér,轻而易举 (qīng ér yì jǔ) Easy
963,需,Need (v.),xū,
964,儒,Confucian,rú,
v1p271,p.耑,p.Prospector (guy who searches for gold),,
965,瑞,Auspicious,ruì,
966,端,Upright,duān,
967,曲,Bent (it's a primitive),qū,
968,斗,Big Dipper (Ursa Major) as primitive: measuring cup,dǒu,
969,料,Material (n),liào,胜负难料 (shèng fù nán liào) outcome hard to predict -- 饮料 (yǐnliào) Drink -- 资料 (zīliào) Data -- 出人意料 (chū rén yì liào) Unexpected
970,科,Academic Discipline,kē,
v1p273,p.,p.Salad,,
971,昔,Times past,xī,
972,借,Borrow,jiè,
973,错,Mistaken,cuò,"差错 (chā cuò) error, mistake -- 走错 (zǒu cuò) Go the wrong way"
974,散,Scattered,sǎn,分散 (fēn sàn) Dispersed
975,撒,Scatter,sǎ,撒娇 (sā jiāo) Act spoiled/pretend to be cute
976,廿,Twenty,niàn,
v1p274,p.,p.Caverns,,
977,席,Mat,xí,
978,度,Degrees (graduation of measurement),dù,程度 (chéng dù) Degree
979,渡,Ferry (n. / v.),dù,
980,半,Half,bàn,
981,伴,Partner,bàn,
982,胖,Fat (adj.),pàng,
983,判,Judge (v.),pàn,审判 (shěn pàn) Trial
v1p275,p.,p.Quarter,,
984,眷,"Dependents (people who depend on you, family members)",juàn,
985,拳,Boxing,quán,拳击 (quán jī) Boxing -- 大展拳脚 (dà zhǎn quán jiǎo) showcase one's abilities; put skills into full play
986,片,Slice (n.),piàn,
987,版,Printing plate,bǎn,
988,之,Of (primitive??? Cobra?,zhī,等闲之辈 (děng xián zhī bèi) ordinary people -- 吹灰之力 (chuī huī zhī lì) Effortless -- 杀身之祸 (shā shēn zhī huò) Fatal disaster -- 无稽之谈 (wújī zhī tán) Nonsense -- 一步之遥 (yī bù zhī yáo) A step away
989,乏,Weary,fá,
990,眨,Blink,zhǎ,眨眼间 (zhǎ yǎn jiān) In the blink of an eye
991,不,No (primitive: a NO symbol),bù,"不如 (bù rú) Not as good as -- 不准 (bù zhǔn) Not allowed -- 冷不防 (lěng bù fáng) Suddenly/unexpectedly -- 来不及 (lái bù jí) Too late/no time -- 毫不知情 (háo bù zhī qíng) Completely unaware -- 不依不饶 (bù yī bù ráo) Relentless -- 意想不到 (yì xiǎng bù dào) Unexpected -- 不敢置信 (bù gǎn zhì xìn) Unbelievable -- 不堪设想 (bù kān shè xiǎng) Unimaginable -- 技不如人 (jì bù rú rén) Inferior skills -- 不眠不休 (bù mián bù xiū) Sleepless -- 死不瞑目 (sǐ bù míng mù) Die with regret -- 截然不同 (jiérán bùtóng) Completely different -- 大言不惭 (dàyán bù cán) Boast shamelessly -- 不愧 (bù kuì) deserve to be called -- 不知死活 (bù zhī sǐ huó) Reckless -- 不知悔改 (bù zhī huǐ gǎi) Unrepentant -- 不敌 (bù dí) Unable to match -- 怪不得 (guài bù dé) No wonder -- 不屑 (bù xiè) Disdain -- 饶不了 (ráo bù liǎo) won't forgive -- 不对劲 (bú duì jìn) something's wrong; strange; off -- 不住 (bù zhù) can’t help (doing something) -- 长痛不如短痛 (cháng tòng bù rú duǎn tòng) a short pain is better than a long one -- 要不是 (yàobùshì) if it weren’t for, but for"
992,否,Negate,fǒu,
993,坏,Bad,huài,损坏 (sǔn huài) Damage
994,环,Ring,huán,环境 (huán jìng) Environment -- 耳环 (ěr huán) Earring
995,杯,Cup,bēi,
996,还,Give back,huán,还原 (huányuán) return to the original condition or shape -- 还手 (huánshǒu) Fight back
997,怀,"Cherish (keep in mind, hold it dear)",huái,怀孕 (huái yùn) Pregnant
998,矢,Dart,shǐ,
999,族,Tribe,zú,种族 (zhǒng zú) Race
1000,知,Know,zhī,毫不知情 (háo bù zhī qíng) Completely unaware -- 不知死活 (bù zhī sǐ huó) Reckless -- 不知悔改 (bù zhī huǐ gǎi) Unrepentant
1001,智,Wisdom,zhì,明智 (míng zhì) Wise
1002,矛,Spear (n.) (primitive),máo,矛盾 (máo dùn) Conflict
1003,柔,Gentle,róu,温柔 (wēnróu) gentle; tender
1004,揉,Knead (massage or squeeze with the hands),róu,
1005,予,Bestow (primitive: Cerimonial Spear),yǔ,
1006,序,Preface (n.),xù,
1007,预,Beforehand,yù,预定 (yù dìng) Reserve/Predetermine
1008,野,Wild,yě,野蛮 (yě mán) Barbaric -- 野心勃勃 (yě xīn bó bó) Ambitious
1009,班,Class,bān,班主任 (bānzhǔrèn) head teacher
v1p279,p.,p.Fencing foil,,
1010,临,Be about to,lín,濒临 (bīn lín) On the verge
1011,坚,Firm (adj.),jiān,坚持 (jiānchí) Persist
1012,贤,Worthy (person),xián,贤妻良母 (xián qī liáng mǔ) Virtuous wife and good mother
1013,弓,Bow (n.) (weapon),gōng,
1014,引,"Draw (water rom a well, or attention or opinions out of people)",yǐn,吸引 (xī yǐn) Attract -- 引发 (yǐn fā) Trigger -- 引导 (yǐn dǎo) Guide
1015,弥,Fill (v.),mí,
1016,强,Strong,qiáng,"强烈 (qiáng liè) intense, strong -- 顽强 (wán qiáng) Tenacious/tough -- 强悍 (qiáng hàn) Strong and tough -- 勉强 (miǎn qiǎng) Reluctant/get ahead of oneself"
1017,弱,Weak,ruò,软弱 (ruǎn ruò) Weak
1018,单,List (n.),dān,单纯 (dān chún) Simple
1019,弹,Bullet,dàn,导弹 (dǎodàn) missile -- 动弹 (dòng tán) Move
v1p281,p.弗,p.Dollar sign,,
1020,费,Expense,fèi,费劲 (fèi jìn) strenuous/requiring effort
1021,佛,Buddha,fó,
1022,弟,Younger brother,dì,
1023,第,No.,dì,
v1p282,p.丂,p.Snare,,
1024,巧,Adroit (clever or skillful),qiǎo,
1025,号,Appellation,hào,信号 (xìn hào) Signal
1026,身,Somebody,shēn,"身份 (shēn fèn) identity, status -- 粉身碎骨 (fěn shēn suì gǔ) Shattered to pieces -- 杀身之祸 (shā shēn zhī huò) Fatal disaster -- 化身 (huà shēn) incarnation; embodiment (of an idea/character)"
1027,射,Shoot (v),shè,
1028,谢,Thank,xiè,
1029,老,"Old man (the upper part becomes ""santa claus"" as a primitive)",lǎo,老大 (lǎo dà) Boss/Leader/Head
V1p284-1,p.,p.Slingshot,,
1030,考,Take an exam,kǎo,考验 (kǎo yàn) Test
1031,烤,Roast (v.),kǎo,
V1p284-2,p.,p.Pointed tail,,
1032,与,Offer (v),yǔ,
1033,写,Write,xiě,写真集 (xiě zhēn jí) photo album
1034,泻,Diarrhea,xiè,
1035,孝,Filial piety,xiào,
1036,教,Teach,jiāo,指教 (zhǐjiào) Advise -- 教训 (jiào xùn) give a lesson，moral -- 调教 (tiáo jiào) Train -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境) -- 宗教 (zōngjiào) religion
1037,者,Someone - as a primitive: puppet-on-a-string,zhě,学者 (xué zhě) Scholar
1038,著,Author (v.) - in the sense of writing books,zhù,
1039,猪,Pig,zhū,
v1p285,p.,p.Maestro (music director with tuxedo),,
1040,追,Chase (v),zhuī,追踪 (zhuī zōng) Track
1041,官,Bureaucrat,guān,
1042,管,"Pipe (conduit, tubing)",guǎn,保管 (bǎo guǎn) Safekeeping
1043,父,Father,fù,
1044,交,Mingle,jiāo,交流 (jiāo liú) Communicate -- 交锋 (jiāo fēng) Confrontation
1045,效,Effect (n.),xiào,有效 (yǒuxiào) effective
1046,较,Relatively,jiào,较量 (jiào liàng) to compete; to measure strength against
1047,校,School,xiào,校长 (xiàozhǎng) Principal
1048,足,"Lower leg (when on the left: ""wooden leg"")",zú,足够 (zú gòu) Enough
1049,跑,Run,pǎo,
1050,跳,Jump (v.),tiào,跳跃 (tiào yuè) Jump -- 跳蚤 (tiào zao) flea
1051,路,Path,lù,绕路 (rào lù) Detour
1052,露,Dew,lù,"暴露 (bào lù) to expose, to reveal -- 表露 (biǎo lù) reveal; show"
1053,骨,Skeleton,gǔ,粉身碎骨 (fěn shēn suì gǔ) Shattered to pieces -- 筋骨 (jīn gǔ) Muscle and bone (strength)
1054,滑,Slippery,huá,
v1p288,p.⻖,p.Pinnacle,,
1055,阿,Apollo,ā,
1056,啊,Aah!,ā,
1057,随,As you wish,suí,
1058,阳,"Yang (the sunny, light part of the dao)",yáng,
1059,阴,Yin (the dark part of the dao),yīn,阴谋 (yīn móu) Conspiracy -- 阴间 (yīn jiān) Underworld
1060,荫,Shady,yìn,
1061,防,Ward off    (prevent someone or something from harming or affecting one),fáng,冷不防 (lěng bù fáng) Suddenly/unexpectedly -- 防御力 (fáng yù lì) Defense -- 提防 (dī fang) be cautious of; beware of -- 防护罩 (fáng hù zhào) protective shield
1062,附,Attach,fù,
1063,际,Occasion,jì,实际上 (shí jì shàng) Actually
1064,阶,Stairs,jiē,
1065,院,"Inst. (abbreviation for Institution, used as a suffix for certain buildings and organizations)",yuàn,住院 (zhùyuàn) Hospitalization -- 美容院 (měi róng yuàn) Beauty salon
1066,阵,Battle formation,zhèn,上阵 (shàngzhèn) Go into battle
1067,队,Team,duì,插队 (chā duì) Cut in line -- 团队 (tuán duì) Team
1068,坠,Crash (v.),zhuì,
1069,降,Descend,jiàng,投降 (tóu xiáng) Surrender -- 降低 (jiàng dī) lower/reduce
1070,穴,Hole,xué,
1071,究,Research (v) (study carefully),jiū,究竟 (jiū jìng) on earth -- 研究 (yán jiū) Research -- 终究 (zhōng jiū) Eventually
1072,突,Abruptly,tū,
1073,空,Empty,kōng,空壳 (kōng ké) Empty shell -- 空有 (kōng yǒu) Have in vain
1074,控,Control (v.),kòng,遥控器 (yáo kòng qì) remote control
v1p290,p.,p.Paper punch (Büro Locher),,
1075,深,Deep (meaning),shēn,深渊 (shēn yuān) Abyss
1076,探,Spy (n.),tàn,
1077,丘,Hill,qiū,
1078,兵,Troops,bīng,兵来将挡 (bīng lái jiàng dǎng) meet force with force; respond appropriately to changes
v1p292,p.,p.Thread,,
1079,丝,Silk,sī,
1080,织,Weave (v.) (knit),zhī,
1081,线,Line,xiàn,光线 (guāng xiàn) light ray
1082,维,"to Maintain (but also: to tie up, preserve)",wéi,思维 (sīwéi) Thinking -- 维持 (wéi chí) Maintain
1083,统,Overall / Continuum - an ordered system of interrelated things,tǒng,系统 (xì tǒng) System -- 统治 (tǒng zhì) Rule -- 血统 (xuè tǒng) Bloodline
1084,给,Give,gěi,"给点颜色看看 (gěi diǎn yán sè kàn) ""teach someone a lesson""; show one's power"
1085,结,Tie (v.),jié,"终结 (zhōng jié) End -- 结局 (jiéjú) ending, conclusion"
1086,终,End (n.),zhōng,终究 (zhōng jiū) Eventually -- 终结 (zhōng jié) End
1087,级,Rank (n.),jí,
1088,纪,"Epoch, Age",jì,纪念 (jì niàn) commemorate
1089,红,Red,hóng,
1090,约,Make an appointment,yuē,"约定 (yuē dìng) Agreement -- 约会 (yuē huì) Date, appointment -- 隐约 (yǐn yuē) vague; indistinct; faint"
1091,细,"Fine (adj.) thin, exquisite, delicate",xì,细看 (xì kàn) Examine carefully -- 细胞 (xì bāo) Cell -- 仔细 (zǐ xì) careful; meticulous -- 细菌 (xìjūn) bacteria
1092,纵,Vertical,zòng,操纵 (cāo zòng) manipulate; control
1093,绿,Green,lǜ,
V1p294-1,p.,p.Spool,,
1094,经,"Scripture, sutra",jīng,"经理 (jīng lǐ) Manager -- 神经 (shén jīng) Neuron -- 经历 (jīnglì) experience, to go through -- 神经病 (shénjīngbìng) crazy person (colloquial)"
1095,轻,Lightweight,qīng,轻敌 (qīng dí) Underestimate the enemy -- 轻而易举 (qīng ér yì jǔ) Easy -- 掉以轻心 (diào yǐ qīng xīn) underestimate carelessly
1096,续,Continue (or resume),xù,"持续 (chíxù) to continue, to last"
1097,继,Carry on,jì,继承 (jì chéng) Inherit
1098,药,Medicine,yào,炸药 (zhà yào) explosive; dynamite
V1p294-2,p.幺,p.Cocoon,,
v1p295,p.糸,p.Floss,,
1099,系,Lineage,xì,系 (Jì) Tie/fasten -- 银河系 (yín hé xì) Milky Way Galaxy -- 系统 (xì tǒng) System
1100,紧,Tight,jǐn,"无关紧要 (wú guān jǐn yào) irrelevant, insignificant -- 紧迫 (jǐn pò) Urgent -- 紧张 (jǐn zhāng) Nervous"
v1p296,p.,p.Stamp,,
1101,却,Withdraw,què,
1102,脚,Foot,jiǎo,指手划脚 (zhǐ shǒu huà jiǎo) Gesticulate/to criticize -- 大展拳脚 (dà zhǎn quán jiǎo) showcase one's abilities; put skills into full play
1103,服,Apparel (clothes in general),fú,征服 (zhēng fú) Conquer -- 克服 (kè fú) Overcome -- 道服 (dào fú) Martial Arts Uniform -- 说服 (shuō fú) persuade
1104,报,Newspaper,bào,播报 (bō bào) Broadcast -- 报仇 (bào chóu) revenge; to take revenge
1105,命,Fate,mìng,使命 (shǐ mìng) Mission/duty -- 拼命 (pīn mìng) Desperately
V1p297-1,p.,p.Letter opener,,
1106,贸,Trade (n.),mào,
1107,留,Stay (v.),liú,
1108,溜,Slide (v.),liū,溜 (liū) Sneak away
1109,聊,Chat (v.),liáo,闲聊 (xián liáo) Chat
1110,柳,Willow,liǔ,
V1p297-2,p.,"p.Chop (in the sense of the engraved piece of wood or stone used in the Orient to certify document, generally using red ink. Pay attention to the difference to ""stamp"", the line on the top left is longer.",,
1111,节,Holiday,jié,
1112,卫,"Defend (active, military, like a sentinel)",wèi,卫生间 (wèishēngjiān) Bathroom
1113,令,Orders,lìng,传令 (chuánlìng) Pass Orders
1114,冷,Cold,lěng,冷不防 (lěng bù fáng) Suddenly/unexpectedly
1115,零,Zero,líng,零件 (líng jiàn) spare parts/components
1116,领,Collar,lǐng,心领 (xīn lǐng) appreciate sb.'s kindness -- 本领 (běnlǐng) Skill -- 领域 (lǐng yù) Field
v1p298,p.甬,p.Chop-rack,,
1117,通,Communicate,tōng,
1118,勇,Courageous,yǒng,有勇无谋 (yǒu yǒng wú móu) Brave but not smart -- 勇士 (yǒng shì) Warrior/Brave person
V1p299-1,p.巳,p.Fingerprint,,
1119,仓,Storehouse,cāng,
1120,枪,Gun,qiāng,
1121,创,"Initiate (v) (a creative process, for example)",chuàng,
1122,犯,Criminal,fàn,
1123,危,Danger,wēi,
1124,脆,Fragile,cuì,干脆 (gān cuì) Simply/directly
Vap299-2,p.,p.Staples,,
1125,印,Print (n./v.),yìn,印象 (yìn xiàng) Impression -- 封印 (fēng yìn) seal (magical)
v1p300,p.酉,p.Whiskey bottle,,
1126,酒,Liquor,jiǔ,酒店 (jiǔdiàn) hotel
1127,配,Distribute,pèi,配 (pèi) Match/deserve
1128,酋,Chieftain (chief of a tribe),qiú,
1129,尊,Venerate,zūn,
1130,遵,"Abide by (to accept and act according to a law, an agreement, etc.)",zūn,
1131,豆,Beans,dòu,
1132,短,Short,duǎn,缩短 (suō duǎn) shorten; reduce in length -- 长痛不如短痛 (cháng tòng bù rú duǎn tòng) a short pain is better than a long one
1133,厨,Kitchen,chú,厨师 (chú shī) Chef
V1p301-1,p.壴,p.Drum,,
1134,鼓,Drum (n.),gǔ,鼓掌 (gǔ zhǎng) Applaud
1135,喜,Joyful (personal happiness),xǐ,惊喜 (jīngxǐ) pleasant surprise
V1p301-2,p.皿,p.Dish,,
1136,血,Blood,xuè,血统 (xuè tǒng) Bloodline
1137,盖,Lid,gài,
1138,温,Temperature,wēn,温柔 (wēnróu) gentle; tender
1139,监,"Supervise (just checking everything is ok, running smoothly)",jiān,监视 (jiān shì) Monitor
1140,篮,Basket,lán,
1141,蓝,Blue,lán,
v1p302,p.艮,p.Silver,,
1142,银,Silver,yín,银河系 (yín hé xì) Milky Way Galaxy
1143,跟,Heel,gēn,
1144,很,Very,hěn,
1145,根,Root,gēn,
1146,即,Immediately,jí,"即便 (jí biàn) even if, even though -- 立即 (lì jí) immediately; at once"
1147,退,Retreat (physical),tuì,撤退 (chè tuì) Retreat
1148,腿,Leg,tuǐ,飞毛腿 (fēi máo tuǐ) Fast runner
1149,限,Limit (n./v.),xiàn,
1150,眼,Eyelet (Öse),yǎn,"刺眼 (cì yǎn) dazzling, glaring -- 眨眼间 (zhǎ yǎn jiān) In the blink of an eye -- 顺眼 (shùn yǎn) Pleasing to the eye -- 眼光 (yǎn guāng) Vision, insight"
